10-05-2021 19:06:17 INFO     [ app.py:19] Loading books list...
10-05-2021 19:06:17 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:18 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-1.html HTTP/1.1" 200 None
10-05-2021 19:06:18 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:18 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:18 DEBUG    [ all_books_page.py:30] Finding all number of catalogue pages available...
10-05-2021 19:06:18 INFO     [ all_books_page.py:33] Found number of catalogue available: `
            
                Page 1 of 50
            
            `.
10-05-2021 19:06:18 DEBUG    [ all_books_page.py:37] Extracted number of pages as integer: `50`.
10-05-2021 19:06:18 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:18 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-2.html HTTP/1.1" 200 None
10-05-2021 19:06:19 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:19 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:19 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:19 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:19 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-3.html HTTP/1.1" 200 None
10-05-2021 19:06:19 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:19 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:19 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:19 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:20 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-4.html HTTP/1.1" 200 None
10-05-2021 19:06:20 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:20 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:20 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:20 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:20 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-5.html HTTP/1.1" 200 None
10-05-2021 19:06:20 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:20 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:20 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:20 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:21 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-6.html HTTP/1.1" 200 None
10-05-2021 19:06:21 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:21 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:21 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:21 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:21 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-7.html HTTP/1.1" 200 None
10-05-2021 19:06:21 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:21 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:21 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:21 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:22 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-8.html HTTP/1.1" 200 None
10-05-2021 19:06:22 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:22 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:22 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:22 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:22 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-9.html HTTP/1.1" 200 None
10-05-2021 19:06:23 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:23 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:23 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:23 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:23 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-10.html HTTP/1.1" 200 None
10-05-2021 19:06:23 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:23 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:23 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:23 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:24 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-11.html HTTP/1.1" 200 None
10-05-2021 19:06:24 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:24 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:24 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:24 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:24 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-12.html HTTP/1.1" 200 None
10-05-2021 19:06:24 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:24 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:24 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:24 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:25 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-13.html HTTP/1.1" 200 None
10-05-2021 19:06:25 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:25 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:25 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:25 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:25 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-14.html HTTP/1.1" 200 None
10-05-2021 19:06:25 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:25 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:25 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:25 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:26 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-15.html HTTP/1.1" 200 None
10-05-2021 19:06:26 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:26 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:26 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:26 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:26 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-16.html HTTP/1.1" 200 None
10-05-2021 19:06:27 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:27 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:27 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:27 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:27 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-17.html HTTP/1.1" 200 None
10-05-2021 19:06:27 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:27 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:27 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:27 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:28 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-18.html HTTP/1.1" 200 None
10-05-2021 19:06:28 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:28 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:28 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:28 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:28 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-19.html HTTP/1.1" 200 None
10-05-2021 19:06:28 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:28 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:28 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:28 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:29 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-20.html HTTP/1.1" 200 None
10-05-2021 19:06:29 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
10-05-2021 19:06:29 DEBUG    [ all_books_page.py:13] Parsing page content with BeautifulSoup HTML parser.
10-05-2021 19:06:29 DEBUG    [ all_books_page.py:18] Finding all books in the page using `div.page_inner section li.col-xs-6`.
10-05-2021 19:06:29 DEBUG    [ connectionpool.py:971] Starting new HTTPS connection (1): books.toscrape.com:443
10-05-2021 19:06:29 DEBUG    [ connectionpool.py:452] https://books.toscrape.com:443 "GET /catalogue/page-21.html HTTP/1.1" 200 None
10-05-2021 19:06:29 DEBUG    [ app.py:35] Creating AllBookspgae from page content.
